title,author,publication_year
Die Kunst des Klร?ยผngelns. Erfolgsstrategien fร?ยผr Frauen.,Anni Hausladen,2000
"Das Vogelmร?ยคdchen und der Mann, der der Sonne folgte.",Velma Wallis,1998
Stories of Manhood: Journeys into the Hidden Hearts of Men,Steve Biddulph,2003
Peel My Love Like an Onion: A Novel,Ana Castillo,2000
The Return (Dover Horror Classics),Walter De LA Mare,1997
Selbsterniedrigung durch Spazierengehen. Essays.,Stephan Wackwitz,2002
Before &amp; After: Stories from New York,Thomas Beller,2002
Heile Welt: Roman,Walter Kempowski,1998
Das Traumcafe einer Pragerin.,Lenka Reinerova,1996
"Engine City (The Engines of Light, Book 3)",Ken MacLeod,2003
"Bibelausgaben, Die Bibel nach der ร?ย?bersetzung Martin Luthers, mit Apokryphen, Leinenausgabe blau, neue Rechtschreibung (Nr.1524)",Martin Luther,2001
AWAKENING,Jude Deveraux,1983
Zeit der Schatten.,Margot Livesey,2003
L'Arriรจre-saison,Philippe Besson,2002
Between Heaven and Earth: A Guide to Chinese Medicine,Harriet Beinfield,1992
Ein Liebhaber Des Halbschattens,Andersch,0
A Child's Book of Prayers (An Owlet Book),Michael Hague,1995
Clean Break.,Val McDermid,2000
Best Evidence -Op/38,David S. Lifton,1982
The Brilliant Career of Winnie-the-Pooh: The Story of A.A. Milne and His Writing for Children,Ann Thwaite,1992
John Paul II: Chronicle of a Remarkable Life,Catherine Legrand,2000
Tales of Mystery and Imagination (Longman Fiction),Addison Wesley Longman,1997
All We Need to Say: Poems About School from Tanya and Sophie,Marilyn Singer,1996
Die Tibeterin.,Federica de Cesco,2003
Outlaws of Mesquite: A New Collection of Frontier Stories,Louis L'Amour,1990
"Jamey. Das Kind, das zu viel wuร?ย?te. Psychothriller.",Jonathan Kellerman,1992
Tod aus der Tiefe.,James Powlik,2001
Lulu. Die Geschichte einer Frau.,Almudena Grandes,1992
Sonnenwende.,David Hewson,2002
Society: The Basics,John J. MacIonis,1995
"Wallis and Edward: Letters, 1931-1937;The Intimate Correspondence of the Duke and Duchess of Windsor",Michael Bloch,1988
Die Farm in den grร?ยผnen Bergen.,Alice Herdan-Zuckmayer,1973
"Nein danke, ich denke selber. Philosophieren aus weiblicher Sicht.",Annegret Stopczyk,2000
Die Verteidigung des Glร?ยผcks. Erinnerungen an Liebe und Krieg.,Gioconda Belli,2001
Tales of Known Space,Larry Niven,0
Die Asche meiner Mutter. Irische Erinnerungen.,Frank McCourt,2000
Zeiten des Aufruhrs.,Richard Yates,2002
"Sร?ยผnde, Seele, Sex. Das Jahrhundert der Psychologie.",Miriam Gebhardt,2002
Erich Honecker. Eine deutsche Biographie.,Norbert F. Pร?ยถtzl,2002
Beste Deutsche Erzร?ยคhler 2002,Verena Auffermann,2002
Last of the Curlews,Fred Bodsworth,1979
Die Flucht. ร?ย?ber die Vertreibung der Deutschen aus dem Osten.,Stephan Burgdorff,2002
Living World of Nature,Readers Digest,1980
Mayday. Roman.,Nelson DeMille,1998
Black Box BRD.,Andres Veiel,2002
Children of the Wind,Kate Wilhelm,1989
Das Ende des Menschen,Francis Fukuyama,2002
The Studhorse Man (New Press Canadian Classics),Robert Kroetsch,1982
Willy Brandt. 1913 - 1992. Visionร?ยคr und Realist.,Peter Merseburger,2002
Ob ich das schaffe.,Gabriele Strehle,2002
Curious Creatures,Reader Digest,1981
"Hexen, Hobbits und Piraten. Die besten Bร?ยผcher fร?ยผr Kinder.",Susanne Gaschke,2002
The Nine Wrong Answers,John Dickson Carr,1995
The Independent Musician's Contact Bible,David Wimble,2000
The Way : Using the Wisdom of Kabbalah for Spiritual Transformation and Fulfillment,Michael Berg,2002
 Mein verwundetes Herz'. Das Leben der Lilli Jahn 1900 - 1944.,Martin Doerry,2002
Umarmung.,Lydia Mischkulnig,2002
Aufgewacht. Mauer weg.,Susanne Leinemann,2002
Die Verantwortungsgesellschaft. Individualismus und Moral in der heutigen Demokratie.,Amitai Etzioni,1999
Mitternacht In Garten Der Luste,John Berendt,1995
The female eunuch,Germaine Greer,1970
WinterFest.,Helga Dick,1998
Odysseus.,Wolfgang Hohlbein,1999
Out on the Plain,Frankie Finn,1984
Die irische Signora.,Maeve Binchy,1999
La femme sous l'horizon: Roman,Yann Queffรฉlec,1988
Whiteout,Houston,1988
Endymion. Pforten der Zeit.,Dan Simmons,2001
Das tapfere Schneiderlein.,Ludwig Bechstein,1999
The cat that came in from the cold,Philip Brown,1977
Alles gebacken. Pop-up- Buch. Geschichten vom kleinen Raben.,Nele Moost,2000
Die Liebesverschwร?ยถrung.,Heinz Gร?ยผnther Konsalik,1996
"Alles erlaubt? Oder: Immer brav sein, das schafft keiner.",Nele Moost,2001
Front Porch Al,Alan Maitland,0
Ich mach heut was ich will! ( Ab 3 J.).,Beate Schober,2003
Los Suenos,Sigmund Freud,1996
Blu's Hanging,Lois-Ann Yamanaka,1997
Folge der Spur... durch den Freizeitpark. Ein Wimmelbilderbuch. ( Ab 2 J.).,Guido Wandrey,2003
Phantom of the Opera (Oxford Bookworms),Unk,1993
Ohne Krร?ยผmel geht es nicht. ( Ab 3 J.).,Nele Moost,2003
Ich hab dich und du hast mich. ( Ab 2 J.).,Nele Moost,2001
The Savage Truth On Money,Terry Savage,1999
Dich geb ich nie mehr her. ( Ab 2 J.).,Nele Moost,2002
Alles gebacken. Geschichten vom kleinen Raben.,Nele Moost,1997
Alles gefร?ยคrbt. Pop- Up- Buch. ( Ab 3 J.).,Nele Moost,2001
Alles echt wahr. Oder Rabenstarke Schwindeleien fร?ยผr alle Gelegenheiten.,Nele Moost,2001
Deadeye Dick,"Kurt, Jr. Vonnegut",1983
"Alles wieder gut! oder, Wie der kleine Rabe zu seinem namen kommt!",Nele Moost,1999
Pashazade: The First Arabesk,Jon Courtenay Grimwood,2003
Macht ja nix. Oder: Das kann jedem mal passieren.,Nele Moost,1998
Ensayo Sobre El Dia Logrado,Peter Handke,1999
"June 30th, June 30th",Richard Brautigan,1978
Weihnachten bei Familie Bร?ยคr. ... und anderen Tierfamilien.,Kestutis Kasparavicius,1997
WILLRD BWLNG TROPH,Richard Brautigan,1975
Rumpelstilzchen.,Jacob Grimm,1998
Gร?ยคnsehaut 52. Das Geisterpiano. ( Ab 10 J.).,R. L. Stine,2001
The Other God: Dualist Religions from Antiquity to the Cathar Heresy (Yale Nota Bene),Yuri Stoyanov,2000
"Meine erste Tier-Bibliothek, Das Pferd",Valerie Tracqui,2000
Der Frosch.,Paul Starosta,2002
Beyond the Stars: An Epic of the American West,David William Ross,1990
Das Krokodil. ( Ab 4 J.).,Valerie Tracqui,2003
Das Huhn. ( Ab 4 J.).,Christian Havard,2003
Bridges Revisited,K. F. Coffman,2003
"Moon. Der Roman, der Sie nicht schlafen lร?ยคร?ย?t.",James Herbert,1990
Die Katze. ( Ab 4 J.).,Stephane Frattini,2003
"Meine erste Tier-Bibliothek, Die Maus",Stephane Frattini,2000
Little : A Novel,David Treuer,1996
"Ich sehe was, was du nicht siehst.",Joan Steiner,1999
Pinocchio (Classic Illustrated Treasury),Carlo Collodi,2001
"Ich sehe was, was du nicht siehst 2.",Joan Steiner,2000
Folge der Spur... durch die Stadt. Ein Wimmelbilderbuch.,Guido Wandrey,2001
Die Geschichtentruhe. Klassische Erzร?ยคhlungen.,Ernst Theodor Amadeus Hoffmann,1999
The Alternative Medicine Handbook: The Complete Reference Guide to Alternative and Complementary Therapies,Barrie R. Cassileth,1998
The Grey Area,Sean Hughes,1996
Mร?ยคrchen- Samowar. Erzร?ยคhlungen aus dem alten Ruร?ย?land.,Nikolaj Gogol,1996
Die kleine schwarze Henne.,Antony Pogorelskij,2002
World War 3.0 : Microsoft and Its Enemies,Ken Auletta,2001
"\Time Out\"" Book of London Short Stories (\""Time Out\"" Guides)""",Julie Burchill,1993
Kaschtanka.,Anton Tschechow,2002
Classical Sociological Theory: A Reader,Ian McIntosh,1997
Die kleine Seejungfrau.,Hans Christian Andersen,2002
Eine Familie fร?ยผr das ร?ย?ffchen. ( Ab 10 J.).,Lucy Daniels,2001
Der Tannenbaum.,Hans Christian Andersen,1998
Reappearance of the Christ and the Masters of Wisdom,Benjamin Creme,1980
"Der Lร?ยถwe Leopold. ( Ab 6 J.). Fast Mร?ยคrchen, fast Geschichten.",Reiner Kunze,2003
Der selbstsร?ยผchtige Riese. ( Ab 4 J.).,Oscar Wilde,2001
"Extraordinary Times, Extraordinary Beings: Experiences of an American Diplomat with Maitreya and the Masters of Wisdom",Wayne S. Peterson,2001
Das Mร?ยคdchen mit den Schwefelhร?ยถlzchen.,Hans Christian Andersen,2003
The Dream King,Gregor Robinson,1997
H. Ch. Andersen erzร?ยคhlt Wintermร?ยคrchen.,Hans Christian Andersen,2001
Die schร?ยถnsten Mร?ยคrchen von Hans Christian Andersen. Einzelne Mร?ยคrchen.,Arnica Esterl,1999
Die schร?ยถnsten Mร?ยคrchen der Brร?ยผder Grimm.,Jacob Grimm,1998
Moby Dick oder Der Wal,Herman Melville,2001
Philipok. ( Ab 4 J.).,Leo N. Tolstoi,2000
Die Brร?ยผder Grimm erzร?ยคhlen Tiermร?ยคrchen.,Jacob Grimm,2003
Die Drachenfedern.,Andrej Dugin,2003
Robinson Crusoe: The Life and Strange Surprising Adventure (Everyman's Library (Paper)),Daniel Defoe,1994
Lunch Box Letters: Writing Notes of Love and Encouragement to Your Children,Carol Spreandeo,2000
Sous le pavillon noir: Pirates et flibustiers (Aventures),Philippe Jacquin,1988
"Auf Wiedersehen, Mama. ( Ab 12 J.).",Elisabeth Zร?ยถller,2002
Usher's Passing,Robert R. McCammon,1989
Mein junger Lover.,Annegrit Arens,1998
Kilcaraig,Annabel Carothers,1982
The Lawn: A History of an American Obsession,Virginia Scott Jenkins,1994
OXFORD EXIT : A KATE IVORY MYSTERY (Kate Ivory Mystery),Veronica Stallwood,1995
Riding in Cars With Boys: Confessions of a Bad Girl Who Makes Good,Beverly Donofrio,1990
SWIFTY,Irving Lazar,1995
Warren Beatty: The Last Great Lover of Hollywood,"John, 1938 Aug. 5 Parker",1994
A World of Imponderables: The Answers to Life's Most Mystifying Questions (Imponderables Series),David Feldman,2000
Mr Mom (By Request) (Harlequin by Request),Carole Mortimer,1997
Los Mandarines,Simone de Beauvoir,1999
El Grito De LA Lechuza,Patricia Highsmith,1997
"Divided in Unity: Identity, Germany, and the Berlin Police",Andreas Glaeser,2000
El Camino Del Encuentro/the Meeting Road,Jorge Bucay,2001
The Wall in My Backyard: East German Women in Transition,Dinah Dodds,1994
The Fall of the GDR: Longman Themes in Modern German History Series,David Childs,2001
Entre Ayer y Hoy,Cristina Mejias,2004
Das Indiz.,John T. Lescroart,1997
Ensayo Sobre La Lucidez,Jose Saramago,2004
The 267 Stupidest Things Republicans Ever Said/ The 267 Stupidest Things Democrats Ever Said,Ted Rueter,2000
Where the World Ended: Re-Unification and Identity in the German Borderland,Daphne Berdahl,1999
Juan Salvador Gaviota,Richard Bach,1994
Daisy Miller and Other Stories (Penguin Modern Classics),Henry James,1984
Inherit the Wind.,Jerome Lawrence,1998
No Place to Learn: Why Universities Aren't Working,Tom Pocklington,2002
El camino hacia el amor,Deepak Chopra,1997
How Democratic Is the American Constitution?,Robert Alan Dahl,2002
Presumed Guilty: The Tragedy of the Rodney King Affair,Stacey C. Koon,1992
Cuentos de Encuentros y Desencuentros Amorosos,V. V. A. A.,2003
The New Art of Making Beer,Stanley F. Anderson,1998
The Black Ice (Detective Harry Bosch Mysteries),Michael Connelly,1993
Napoleon's Buttons: How 17 Molecules Changed History,"Penny M, Ph.D Le Couteur",2003
Young Lonigan (Penguin Classics),James T. Farrell,2003
Ava: A Novel,Carole Maso,1993
"Chicken Soup for the Golfer's Soul, The 2nd  Round: 101 More Stories of Insight, Inspiration and Laughter on the Links",Jack Canfield,2002
"Indian Treaty-Making Policy in the United States and Canada, 1867-1877",Jill St. Germain,2001
"Command Performance (Language Of Love) (Nora Roberts-Language of Love, No 37)",Nora Roberts,1993
"Kinsmen of Another Kind: Dakota White Relations in the Upper Mississippi Valley, 1650-1862",Gary Anderson,1984
Diario de Un Seductor,Soren Kierkegaard,2002
A Plague of Angels: A Sir Robert Carey Mystery (Sir Robert Carey Mysteries (Paperback)),P. F. Chisholm,2000
Here and Now: Current Readings for Writers,Gilbert H. Muller,1997
The Healing Land: The Bushmen and the Kalahari Desert,Rupert Isaacson,2003
Living Well with Hypothyroidism: What Your Doctor Doesn't Tell You... That You Need to Know,Mary J. Shomon,2000
Watership Down,Richard Adams,1993
Beginning Theory: An Introduction to Literary and Cultural Theory,Peter Barry,1995
Treasure Island (Great Illustrated Classics),Robert Louis Stevenson,2002
Ganz ohne Mร?ยคnner geht es nicht.,Jane Gordon,1997
Die Kunst von gestern: Betrachtungen zu einer Kunstgeschichte von morgen,Alfred Schmeller,1982
"Star Trek and Sacred Ground: Explorations of Star Trek, Religion, and American Culture",Jennifer E. Porter,2000
"Frankenstein, or the Modern Prometheus (Puffin Classics)",Mary Wollstonecraft Shelley,1989
Fifth Dimension,John Hick,1999
All That Divides Us: Poems (May Swenson Poetry Award series),Elinor Benedict,2000
Selected Poems: Rogha Danta (The Bright Wave),Nuala Ni Dhomhnaill,1989
Perfekte Frauen. Die Flucht in die Selbstdarstellung.,Colette Dowling,1992
Anatomy of A Life Possessed,Maria Ferrara Pema,2002
All God's Children,Tom Eidson,1997
Coming West: A Natural History of Home,Kevin Van Tighem,1999
The Irish Wine Trilogy: Irish Wine/Boyne's Lassie/Hagar's Dream,Dick Wimmer,2001
Suspended Conversations: The Afterlife of Memory in Photographic Albums,Martha Langford,2001
"The Big Book of Team Building Games: Trust-Building Activities, Team Spirit Exercises, and Other Fun Things to Do",John W. Newstrom,1997
Abran paso a los patitos,Robert McCloskey,1997
Hypothyroidism: The Unsuspected Illness,Broda Barnes,1976
Faces in the Forest: First Nations Art Created on Living Trees,Michael D. Blackstock,2001
Nuremberg : Infamy on Trial,Joseph E. Persico,1995
Greg Lemond's Complete Book of Bicycling,Greg Lemond,1990
The Peace Book : 108 Simple Ways to Create a More Peaceful World,Louise Diamond,2001
The Microsloth Joke Book: A Satire (Berkeley Humor/Computers),David Pogue,1997
Bringing Out the Best in People,Aubrey C. Daniels,1999
The Merchant of Venice (Oxford World's Classics),William Shakespeare,1998
Glamorama,Bret Easton Ellis,2000
NEW BEGINNINGS: NANCY DREW ON CAMPUS #17,Carolyn Keene,1997
A Perfect Time,Richard Jones,1994
At Last We Enter Paradise,Richard Jones,1991
Pierre Et Jean,Maupassant,0
Sonata en si (Nueva novela romรกntica),Marรญa Antonia Valls,1995
"Oeuvres de H.P.Lovecraft, tome 2",Howard Phillips Lovecraft,1991
"Oeuvres de H.P. Lovecraft, tome 1",Howard Phillips Lovecraft,1997
La Guerra Contra El Cliche,Martin Amis,2004
Una Moral de Lo Minoritario,Didier Eribon,2004
La Bestia En La Guarderia,Adam Phillips,2001
Liebe auf den zweiten Kuss.,Jennifer Crusie,2002
Le chien de guerre et la douleur du monde,Michael Moorcock,2000
Le prince des Hittites,Lynda S. (Lynda Suzanne) Robinson,2000
Matto regiert: Kriminalroman,Friedrich Glauser,1989
Kubrick,Michael Herr,2002
Tohuwabohu. Roman.,Tom Sharpe,2002
L'histoire vraie des mutins de la Bounty (Aventures),Yves Kirchner,1988
Gates: How Microsoft's Mogul Reinvented an Industry-And Made Himself the Richest Man in America,Stephen Manes,1993
Littร?ยฉrature latine : manuel de poche,Pierre Marร?ยฉchaux,2000
Travel Fitness,Rebecca Johnson,1995
Treasures of the Louvre (Tiny Folios (Paperback)),Musee Du Louvre,1993
Die Wanze. Ein Insektenkrimi.,Paul Shipton,2000
Outside Providence,Peter Farrelly,1998
La Revanche de Cugel l'astucieux,Michael Shea,2000
Rimbaud El Hijo,Pierre Michon,2001
Table in Tuscany: Classic Recipes from the Heart of Italy,Leslie Forbes,1991
The Wedding MC: A Complete Guide to Success for the Master of Ceremonies,Tom Haibeck,1998
Japonais Sans Peine Tome 1,Assimil,0
Les ailes du courage,George Sand,1997
Reflexiones Sobre La Cuestion Gay,Didier Eribon,2001
Le fauteuil hantร?ยฉ,Gaston Leroux,1998
La mort en gros sabots,John Franklin Bardin,2000
Los Parentescos,Carmen Martin Gaite,2003
Momentos Decisivos,Felix de Azua,2003
Cugel saga,Jack Vance,2000
Cugel l'astucieux,Jack Vance,2000
L'homme qui prenait sa femme pour un chapeau et autres rร?ยฉcits cliniques,Oliver Sacks,1992
Sesenta Semanas En El Tropico: Viajes Por El Planeta Exterior (Narrativas Hispanicas),Antonio Escohotado,2003
Las arenas de Amรณn,Valerio Massimo Manfredi,1999
Enigma,Robert Harris,1997
Una Princesa En Berlin/a Princess in Berlin,Arthur R.G. Solmssen,1980
L'Enfant,Jules Vallร?ยจs,1999
As the Crow Flies,Jeffrey Archer,1991
Memoires Du Comte De Gramont,Hamilton,1998
The Chortling Bard: Caught'ya Grammar with a Giggle for High Schools,Jane Bell Kiester,1998
La reine Margot,Alexandre Dumas,1994
La Fortune Des Rougon,Zola,0
Caught'Ya !: Grammar With a Giggle,Jane Bell Kiester,1990
"Histoire naturelle : nature des mร?ยฉtaux, livre XXXIII",Pline l'Ancien,1999
De la briร?ยจvetร?ยฉ de la vie,le Philosophe Sร?ยฉnร?ยจque,1991
Enviropop: Studies in Environmental Rhetoric and Popular Culture,Mark Meister,2002
"Aqui Te Pillo, Aqui Te Mato",Amy Sohn,2003
The Duke,Catherine Coulter,2002
La Curร?ยฉe,Emile Zola,1978
Une autre vie,Danielle Steel,1988
Tentation Communautaire,J. Mace-Scaron,2001
Le Jugement de Jร?ยฉhovah,James Morrow,2000
Un amour secret de Picasso: Si tard le soir--,Geneviรจve Laporte,1989
"Honeymoon With A Handsome (Harlequin Intimate Moments, No 748)",Elane Osborn,1996
James Joyce (Literary Lives Series),Chester G. Anderson,1998
Mortelle randonnร?ยฉe,Marc Behm,1998
The Picture of Dorian Gray (Broadview Literary Texts),Oscar Wilde,1998
La nuit des salamandres,Graham Masterton,1998
Dors ma jolie,Mary Higgins Clark,1991
Reenchantment of Art,Suzi Gablik,1992
Proyector de Luna: La Generacion del 27 y el Cine (Critica Literaria),Roman Gubern,1999
John l'enfer,Didier Decoin,1996
Ethique dร?ยฉmontrร?ยฉe suivant l'ordre gร?ยฉomร?ยฉtrique et divisร?ยฉe en cinq parties,Spinoza,1997
Eiersalat. Eine Frau geht seinen Weg.,Helga Maria Schneider,1999
Cuando fui Claudia,Angel-Antonio Herrera,2000
Le Cid,Pierre Corneille,1992
Niemandsland.,Pat Barker,1999
Libres Como El Viento: Relatos De Mujeres Viajeras,M. Bond,2003
Le Diable amoureux - Prophร?ยฉtie de Cazotte rapportร?ยฉe par la harpe,Jacques Cazotte,1981
L'instint (Biblioteca mรญnima),Sergi Pร mies,1992
"Lettres de Madame, duchesse d'Orlร?ยฉans nร?ยฉe princesse Palatine",duchesse d' Charlotte-Elisabeth Orlร?ยฉans,1999
"Una duda razonable = A Sudden, Fearful Death",Anne Perry,2002
Lo Que Esta En Mi Corazon (Autores espaรฑoles e iberoamericanos),Marcela Serrano,2002
Le Dernier Jour d'un condamnร?ยฉ,Victor Hugo,2000
Pay the Rent or Feed the Kids : The Tragedy and Disgrace of Poverty in Canada,MEL HURTIG,2000
Contes De Ma Mere L'Oye,Charles Perrault,0
Ne le dis ร?ย  personneร?ย?,Harlan Coben,2002
L' Illusion Comique,Corneille,1993
American Newspeak : The Mangling of Meaning for Power and Profit,Wayne Grytting,2002
Le Macroscope: Vers une vision globale (Points ; 80),Joรซl de Rosnay,1977
How Life Begins: The Science of Life in the Womb,Christopher Vaughan,1996
Le Roman De La Momie,Gautier,0
Closer,Dennis Cooper,1995
Trois jours avant Noร?ยซl,Mary Higgins Clark,2002
The Deep Range,Arthur Charles Clarke,1987
Le Gร?ยฉnie divin,Guillaume Dustan,2001
On Aboriginal Representation in the Gallery (Mercury Series),Lynda Jessup,2002
The Backbone of the World: A Portrait of a Vanishing Way of Life Along the Continental Divide,FRANK CLIFFORD,2002
TAKING BACK OUR STREETS : Fighting Crime in America,Willie L. Williams,1996
Histoire secrรจte de Lyon et du Lyonnais (Histoire secrรจte des provinces franรงaises),Jean Louis Bernard,1977
Censure-moi. Histoire du classement X en France,Christophe Bier,2000
Meurtre au champagne,Agatha Christie,1977
Nicolas pages,Guillaume Dustan,2002
The Long Dying of Baby Andrew,Robert Stinson,1983
Messages from Your Angels: What Your Angels Want You to Know,"Doreen, Ph.D. Virtue",2003
Teleny,Oscar Wilde,1999
Il vaut mieux perdre sa fille que les ร?ยฉlections,Anne-Valร?ยฉrie Botton-Noir,2001
Rรฉflexions sur la question gay,Didier Eribon,1999
A Roman Tale,Carroll Baker,1987
Comment raisonner pour dร?ยฉcider,Jean-Michel Bazin,1998
La Petite Fille Modele,Hebrard,0
"Avant Dune, tome 1 : La Maison des Atreร?ยฏdes",Brian Herbert,2002
"Oeuvres completes, tome 3",Thomas Owen,1999
Introduction to Communicative Disorders,M.N. Hegde,1994
Healing Meditation: Nurse as Healer Series,Mary Grace Umlauf,1996
A cร?ยดtร?ยฉ de la plaque,Marc Behm,1994
Descriptive linguistics: An introduction,Winfred Philipp Lehmann,1972
The Hepatitis C Handbook,Matthew Dolan,1999
Crabe,Behm,1997
Lenfant Charges De Songes,Anne Hebert,1998
La reine de la nuit,Marc Behm,1992
How to Control Your Anger Before It Controls You,Albert Ellis,1998
Journal d'un inconnu,Jean Cocteau,1983
Living with Hepatitis C,Richard English,1997
Jร?ยฉsus-Christ rastaquouร?ยจre,Francis Picabia,1998
Long Tomorrow,Leigh Brackett,1986
Living With Hepatitis C: A Survivor's Guide,"Gregory T., M.D. Everson",1997
A Wodehouse Bestiary,P.G. Wodehouse,1991
"Eric Stanton, Reunion in Ropes (TASCHEN Icons Series)",Not Applicable (Na ),2001
Illuminations: Women Writing on Photography from the 1850s to the Present,Liz Heron,1996
The Curse of the Red Cross Ring,Earl Pilgrim,1999
The Gift of Death: Confronting Canada's Tainted-Blood Tragedy,Andre Picard,1997
La Marquise de Gange (Le Livre de poche ; 3959),Sade,1974
"The Thin Books: Daily Strategies &amp; Meditations for Fat-Free, Guilt-Free, Binge-Free Living",Jeane Eddy Westin,1996
Un Amore,Dino Buzzati,1998
Journal inร?ยฉdit,Donatien Alphonse Franร?ยงois de Sade,1994
Your Last Diet! : The Sugar Addict's Weight-Loss Plan,KATHLEEN DESMAISONS,2001
La princesse Camion,Lubert Mlle de,1995
L'Evร?ยฉnement,Annie Ernaux,2001
When Anger Hurts: Quieting the Storm Within,Matthew McKay,1989
"Le rideau levรฉ: Ou, L'รฉducation de Laure (Collection Aphrodite classique ; 15)",Honorรฉ-Gabriel de Riquetti Mirabeau,1976
Even more ghost stories of Alberta,Barbara Smith,2001
L'Enfant du bordel,Pigault-Lebrun,1997
Creative Imagery for Nurse Healers: Nurse as Healer Series,Karilee Shames,1995
Life of Emily Carr,Paula Blanchard,0
The Sacred Balance: Rediscovering Our Place in Nature,David Suzuki,2002
The Cultural Politics of Fur,Julia V. Emberley,1998
Empty Cradle,Karen Harper,1998
The Last Hours of Ancient Sunlight : Waking Up to Personal and Global Transformation,THOM HARTMANN,2000
Art for Dummies,Thomas  Hoving,1999
Living on the Wind: Across the Hemisphere With Migratory Birds,Scott Weidensaul,2000
Who Am I?: The 16 Basic Desires That Motivate Our Behavior and Define Our Personality,Steven Reiss Ph.D.,2000
La Pensร?ยฉe straight,Monique Wittig,2001
Lost Lives,David McKittrick,1999
Yesterday's Children,Jenny Cockell,1993
Quinze Jours Dans Le Desert an,Tocqueville,1998
La Jungle nue : Mร?ยฉmoires intimes de Lord Grandrith,Philip Jose Farmer,2003
Aux confins de l'ร?ยฉtrange,Connie Willis,1995
Vies des douze Cร?ยฉsars,Suร?ยฉtone,1975
Tending Lives: Nurses on the Medical Front,Echo Heron,1998
Le Grand livre,Connie Willis,1994
Native North American Art (Oxford History of Art),Janet Catherine Berlo,1999
Et ne cherche pas ร?ย  savoir,Marc Behm,1996
Rococo to Revolution: Major Trends in Eighteenth-Century Painting (World of Art),Michael Levey,1985
Trouille,Marc Behm,1993
Latin American Art of the 20th Century (The World of Art),Edward Lucie-Smith,1993
Lunches (Company's Coming),Jean Pare,1992
Papiers d'identitร?ยฉ : Interventions sur la question gay,Didier Eribon,2000
Networking with Microsoft TCP/IP Certified Administrator's Resource Edition,Drew Heywood,1997
The Curmudgeon's Guide to Child-Free Travel: Exactly How and Precisely Where to Enjoy Idyllic Grownup Getaways (Curmudgeaon's Guides),Jennifer Lawler,1998
Mauvaise Journร?ยฉe demain,Dorothy Parker,2000
Windows Nt Troubleshooting (Windows Nt Professional Library),Kathy Ivens,1998
Hurler ร?ย  la lune,Marc Behm,2003
Chocolate (Company's Coming Pint Size),Jean Pare,1995
Microsoft Office Resource Kit (Microsoft Professional Editions),Microsoft Corporation,1998
Buffets (Pint Size Books),Jean Pare,1993
Fureur et Mystร?ยจre,Renร?ยฉ Char,1967
Finger Food (Company's Coming Pint Size),Jean Pare',1993
The Mule Companion: A Guide to Understanding the Mule,Cynthia Attar,1998
William Wallace,Andrew Fisher,1986
The Hidden City,DAVID EDDINGS,1994
Constable: The Painter and His Landscape,Michael Rosenthal,1986
"Kid's Gardening: A Kid's Guide to Messing Around in the Dirt/With Seeds, Shovel",Kevin Raftery,1989
"Introducing Cultural Studies, 2nd Edition",Ziauddin Sardar,2001
The Magic of Ordinary Days,Ann Howard Creel,2002
Gaia: An Atlas of Planet Management,Norman Myers,1993
Fifty Key Contemporary Thinkers: From Structuralism to Postmodernity,John Lechte,1994
Tu Puedes Ser Mas Feliz,Ramon Menal,1993
Listen,Kerman,1992
"This Blue Hollow: Estes Park, the Early Years, 1859-1915",James H. Pickering,1999
But Is It Art? An Introduction to Art Theory,Cynthia A. Freeland,2001
Artificial Mythologies: A Guide to Cultural Invention,Craig J. Saper,1997
In for a Penny (Bay Tanner Mysteries),Kathryn R. Wall,2002
Photomontage (World of Art),Dawn Ades,1986
Learning to Look at Paintings,Mary Acton,1997
What is Painting?: Representation and Modern Art,Julian Bell,1999
"I'll Never Marry a Farmer: Lois Hole on Life, Learning &amp; Vegetable Gardening",Lois Hole,1999
My Garden Visits,Justin Matott,1996
5 Tage IM Juni,Stefan Heym,0
How to Get a Phd: A Handbook for Students and Their Supervisors,Estelle Phillips,1994
La tregua (Nuovi coralli),Primo Levi,1971
When Love Comes Along,Elaine Coffman,1998
"Jane and the Prisoner of Wool House (Barron, Stephanie. Jane Austen Mystery, 6th.)",Stephanie Barron,2001
"Learn to Listen-Listen to Learn, Second Edition",Roni S. Lebauer,1999
The International Story : An Anthology with Guidelines for Reading and Writing about Fiction,Ruth Spack,1998
The Zen of Creative Painting: An Elegant Design for Revealing Your Muse,Jeanne Carbonetti,1998
The Perks of Being a Wallflower,Stephen Chbosky,2001
Snow Falling on Cedars,David Guterson,1995
"Cowboy Bebop, Book 3",Yutaka Nanten,2002
"Cowboy Bebop, Book 2",Yutaka Nanten,2002
Silent Spring,Rachael Carson,1986
Wish You Well,David Baldacci,2000
"Cowboy Bebop: Shooting Star, Book 2",Hajime Yatate,2003
Mass Communication in Canada,Rowland Lorimer,1996
The Zigzag Kid,David Grossman,1998
"Cowboy Bebop: Shooting Star, Book 1",Hajime Yadata,2003
The Little Virtues,Natalia Ginzberg,1989
La Belle und La Betty.,Andrea Parr,2000
The Engine of Visualization: Thinking Through Photography,Patrick Maynard,1997
Open Secrets: Stories,Alice Munro,1994
The Photograph: A Strange Confined Space,Mary Price,1997
Red Tape Holds Up New Bridge: And More Flubs from the Nation's Press,Gloria Cooper,1987
Working for Wildlife: The Beginning of Preservation in Canada,Janet Foster,1998
